"No.","Time","Source","Destination","Protocol","Length","DUP Flag","Info"
"30","8.518449","192.168.0.5","3.125.24.152","MQTT","68","","Connect Command"
"31","8.522195","192.168.0.5","3.125.24.152","MQTT","1514","Not set,Not set,Not set,Not set","Publish Message [sensors/radar/1], Publish Message [sensors/radar/2], Publish Message [sensors/radar/2], Publish Message [sensors/radar/2]"
"37","8.522207","192.168.0.5","3.125.24.152","MQTT","799","Not set","Publish Message [radio/message/1]"
"42","8.550523","3.125.24.152","192.168.0.5","MQTT","60","","Connect Ack"
"46","8.557492","3.125.24.152","192.168.0.5","MQTT","152","Not set,Not set","Publish Message [sensors/radar/1], Publish Message [sensors/radar/2]"
"47","8.557493","3.125.24.152","192.168.0.5","MQTT","140","Not set,Not set","Publish Message [sensors/radar/2], Publish Message [sensors/radar/2]"
"54","8.557501","3.125.24.152","192.168.0.5","MQTT","615","Not set","Publish Message [radio/message/1]"
"223","28.573266","192.168.0.5","3.125.24.152","MQTT","56","","Ping Request"
"224","28.606179","3.125.24.152","192.168.0.5","MQTT","60","","Ping Response"
"558","88.648757","192.168.0.5","3.125.24.152","MQTT","56","","Ping Request"
"559","88.682557","3.125.24.152","192.168.0.5","MQTT","60","","Ping Response"
